Type,Callsign,Rx,Tx,Tone,Address,Latitude,Longitude,Note
지역망,6L∅UF,144.72,431.72,88.50,경남 창원시 의창구 소계동 천주산 산불감시소,35.26,128.60,-
지역망,6K∅WT,439.04,434.04,88.50,"경남 김해시 어방동 산2-3, 신어산",35.27,128.91,2021.08 정상
지역망,6KØXR,434.36,439.36,88.50,"경남 창원시 진해구 소사동 산 24, 불모산",35.15,128.76,-
지역망,6M∅UE,439.26,434.26,88.50,"경남 거제시 일운면 소동리 산 91-59, 옥녀봉",34.85,128.70,2022년 1월 정상동작
지역망,DS∅AX,434.04,439.04,88.50,"강원 원주시 판부면 신촌리 산80, 백운산 중계소",37.27,127.95,-
지역망,D7∅JA,144.72,431.72,88.50,"강원 횡성군 태기로 옥동4길 144-10, 국사봉",37.52,128.04,-
지역망,D7∅JB,144.76,431.16,88.50,"강원 평창군 봉평면 무이리 산1-1, 태기산",37.60,128.29,-
지역망,D7∅JX,439.12,434.12,?,"강원 평창군 대관령마루길 527-1, (산림청철탑)",37.69,128.76,-
지역망,D7∅JS,434.10,439.10,88.50,"강원 횡성군 둔내면 삽교리 산1-1, 태기산",37.60,128.29,-
지역망,6M∅JR,144.80,439.04,88.50,"강원 영월군 영월읍 천문대길397, 봉래산",37.20,128.49,-
지역망,6M∅JR,439.20,434.20,88.50,"강원 영월군 영월읍 천문대길397, 봉래산",37.20,128.49,-
지역망,6M∅JR,144.58,144.58,88.50,"강원 영월군 영월읍 천문대길397, 봉래산",37.20,128.49,확인필요
지역망,6M∅JT,144.68,431.68,88.50,강원 홍천군 홍천읍 연봉리 산11-6번지,37.68,127.88,-
지역망,6N∅KA,144.76,431.76,88.50,"강원 동해시 용정동 28-4, 초록봉",37.52,129.07,-
지역망,6N∅JD,144.68,431.68,88.50,"강원 인제군 인제읍 상동리 14-1, 기룡산",38.08,128.17,-
지역망,?,145.12,433.18,88.50,"강원 고성군 거진읍 거진리, 거진등대",38.44,128.46,-
지역망,?,144.92,433.18,88.50,"강원 고성군 간성읍 금수리 산117, 고성산",38.35,128.45,-
지역망,6N∅K,144.58,431.58,88.50,"강원 정선군 병방치길 376-30, 병방산",37.36,128.63,-
지역망,6N∅K,144.64,431.64,88.50,"강원 정선군 병방치길 376-30, 병방산",37.36,128.63,-
지역망,HL∅XVY,144.74,438.44,88.50,"강원 강릉시 강동면 정동진리 산19, 괘방산",37.72,129.00,-
지역망,6N∅KX,144.62,431.64,88.50,"강원 태백시 서학로 861, 오투리조트 정상",37.17,128.95,-
광역망,DS∅GY,439.50,434.50,88.50,경기도 안양시 만안구 삼막로 584(삼성산),37.43,126.94,2022년 1월 28일 정상동작
광역망,6N∅KA,434.90,439.90,88.50,"강원 동해시 용정동 28-4, 초록봉",37.52,129.07,-
광역망,D7∅JY,434.78,439.78,88.50,강원 양양군 현남면 상월천리 (양양군청철탑),38.08,128.62,-
광역망,6M∅JR,439.80,434.80,88.50,"강원 영월군 영월읍 천문대길397, 봉래산",37.20,128.49,-
광역망,D7∅JX,439.84,434.84,88.50,"강원 평창군 대관령마루길 527-1, (산림청철탑)",37.69,128.76,-
광역망,D7J∅U,434.88,439.88,88.50,"강원 횡성군 둔내면 경강로 6013, 태기산",37.51,128.21,-
광역망,오도산,145.16,145.76,88.50,경남 거창군,35.69,127.91,고장
광역망,6MØUA,439.52,434.52,88.50,경남 양산시 하북면 (천성산중계소),35.41,129.10,22년 1월 22일 정상 동작 확인
광역망,6KØXR,439.86,434.86,88.50,"경남 창원시 진해구 소사동 산 24,불모산",35.15,128.76,-
광역망,6KØXE,439.66,434.66,88.50,"경남 통영시 봉수2길 47, 미륵산 중계소",34.82,128.41,22년 1월 10일 정상 동작 확인
광역망,6M∅UE,439.72,434.72,88.50,"경남 거제시 일운면 소동리 산 91-59, 옥녀봉",34.85,128.70,22년 1월 10일 시험중
광역망,6MØTO,145.18,145.78,88.50,"경남 하동군 진교면 고룡리 873, 금오산",35.02,127.86,-
광역망,6MØTN,439.96,434.96,88.50,"경남 함안군 산인면 모곡리 산 38-1, 자양산",35.29,128.45,2022년 1월 28일 정상동작 확인
광역망,D8∅YU,434.56,439.56,88.50,"경북 안동시 북후면 신전리 71-2, 학가산 중계소",36.67,128.64,-
광역망,HL∅HQS,145.14,145.74,88.50,"경북 영천시 화북면 정각리 산 6-3, 보현산",36.16,128.98,-
광역망,HL∅DOK,144.72,?,88.50,독도 등대,37.52,130.80,-
광역망,DS∅NK,434.74,439.74,88.50,광주 남구 진월동 산239(금당산),35.12,126.89,확인필요
광역망,D8∅YZ,439.48,434.48,88.50,"대구 남구 앞산 순환로574-114, 대덕산 250m",35.82,128.59,-
광역망,DS∅KCV,439.86,434.86,88.50,"인천 부평구 일신동 산 28, 만월산",37.48,126.73,-
광역망,6M∅NW,434.94,439.94,88.50,"전남 고흥군 고흥읍 남계리 산 58, 봉황산",34.61,127.29,-
광역망,6M∅NI,434.62,439.62,88.50,전남 진도군 의신면 사천리 첨찰산,34.47,126.31,-
광역망,6M∅NI,434.62,439.62,88.50,전남 진도군 의신면 사천리 첨찰산,34.47,126.31,-
광역망,6KØQK,434.92,439.92,88.50,"전북 무주군 설천면 만선로 185, 덕유산 설천봉",35.89,127.75,-
광역망,DS∅SF,439.68,434.68,88.50,"제주도 제주시 애월읍 광령리 산183-5, KT중계소",33.36,126.46,2021년 11월 28일 정상
광역망,DS∅LU,439.82,434.82,88.50,충남 금산군 군북면(서대산중계소),36.10,127.50,-
광역망,D8∅LZ,434.94,439.94,88.50,"충남 천안시 동남구 목천읍 교촌리, 흑성산",36.80,127.21,-
광역망,6M∅NE,439.60,434.60,88.50,202108-실험중-금오산-L,36.09,128.31,확인필요
