Latitude,Longitude,Region, Name,Rx,Shift,Tx,Tone,Type,Callsign,Address,Note
36.715606,126.588455,충청남도,가야산,434.34,5,439.34,88.5,지역망,D8∅MU,"충남 서산시 해미면 산수리 산25-1, 가야산",
36.715606,126.588455,충청남도,가야산,439.18,5,444.18,88.5,충남도망,D8∅MZ,"충남 서산시 해미면 산수리 산25-15, 가야산",
35.7266944,126.6418513,전라북도,청호리,145.3,0,145.3,88.5,지역망,6K∅QH,전북 부안군 하서면 석불산길 138,
35.7266944,126.6418513,전라북도,청호리,438.38,0,438.38,88.5,지역망,6K∅QH,전북 부안군 하서면 석불산길 138,
35.6455272,126.646179,전라북도,청림리,145.34,0,145.34,88.5,지역망,6K∅QF,전북 부안군 상서면 청림리 산118-1,
35.6455272,126.646179,전라북도,청림리,438.34,0,438.34,88.5,지역망,6K∅QF,전북 부안군 상서면 청림리 산118-1,
35.8176663,127.1463367,전라북도,전주경원동우체국,433.6,0,433.6,88.5,유무선망,6K∅QL,전북 전주시 완산구 전라감영5길 20,
35.8907738,127.7384958,전라북도,전북 무주,434.92,5,439.92,88.5,광역망,덕유산광역망,"전북 무주군 설천면 만선로 185, 덕유산 설천봉",
35.4220847,127.3989478,전라북도,장례식장,433.64,0,433.64,88.5,유무선망,6K∅QM,전북 남원시 요천로 1237,
35.9688495,126.7472694,전라북도,사정동,433.62,0,433.62,88.5,유무선망,6K∅QO,전북 군산시 경기장로 81-13,
35.8421221,127.1423798,전라북도,금암동,145.3,0,145.3,88.5,유무선망,DS∅Q,전북 전주시 덕진구 매봉3길 16 (금암동),
35.8421221,127.1423798,전라북도,금암동,438.3,0,438.3,88.5,유무선망,DS∅Q,전북 전주시 덕진구 매봉3길 16 (금암동),
34.4675033,126.3076613,전라남도,첨찰산,144.72,0,144.72,88.5,지역망,6M∅NI,전남 진도군 의신면 사천리 산 1 첨찰산,
34.4962811,126.2612564,전라남도,철마산,439.76,0,439.76,88.5,지역망,6M∅ND,전남 진도군 진도읍 동외리 철마산,
34.4675033,126.3076613,전라남도,전남 진도,434.62,5,439.62,88.5,광역망,진도광역망,전남 진도군 의신면 사천리 산 1 첨찰산,
34.6038686,127.2850741,전라남도,전남 고흥,434.94,5,439.94,88.5,광역망,고흥광역망,"전남 고흥군 고흥읍 남계리 산58, 봉황산",
34.7480556,127.7175,전라남도,장군산중계소,144.72,0,144.72,88.5,지역망,6M∅NE,"전남 여수시 광무동 산24, 장군산중계소",
34.7480556,127.7175,전라남도,장군산중계소,431.72,0,431.72,88.5,지역망,6M∅NE,"전남 여수시 광무동 산24, 장군산중계소",
35.1234731,127.0080869,전라남도,영평리,144.78,0,144.78,88.5,지역망,DS∅NK,전남 화순군 이서면 영평리 산 96-3,
35.1234731,127.0080869,전라남도,영평리,433.98,0,433.98,88.5,지역망,DS∅NK,전남 화순군 이서면 영평리 산 96-3,
34.9753547,127.7485719,전라남도,망덕리,433.88,5,438.88,88.5,유무선망,6M∅OD,전남 광양시 진월면 내망길 28-3,
34.9365767,127.6426219,전라남도,광양구봉산중계기,439.44,-5,434.44,88.5,유무선망,6M∅OB,"전남 광양시 구봉산전망대길 155, 구봉산전망대",
34.7429207,127.7436926,전라남도,관문동,145.7,0,145.7,88.5,유무선망,6L∅OZ,전남 여수시 동문로 78 (관문동),
34.7429207,127.7436926,전라남도,관문동,439,0,439,88.5,유무선망,6L∅OZ,전남 여수시 동문로 78 (관문동),
36.1044258,128.3518553,경상북도,황금봉,434.02,5,439.02,88.5,본부망,D7∅YB,"경북 구미시 상사서로29길 36-26, 황금봉 (287M)",
36.1044258,128.3518553,경상북도,황금봉,144.52,0,144.52,88.5,본부망,D7∅YB,"경북 구미시 상사서로29길 36-26, 황금봉 (287M)",
36.8660271,129.407281,경상북도,현종산중계소,144.52,0,144.52,88.5,지역망,D8∅YF,"경북 울진군 원남면 덕신리 산10, 현종산 중계소",
36.8660271,129.407281,경상북도,현종산중계소,434.22,0,434.22,88.5,지역망,D8∅YF,"경북 울진군 원남면 덕신리 산10, 현종산 중계소",
36.8660271,129.407281,경상북도,현종산중계소,434.36,5,439.36,88.5,본부망,D8∅YF,"경북 울진군 원남면 덕신리 산10, 현종산 중계소",
36.8660271,129.407281,경상북도,현종산중계소,434.54,5,439.54,88.5,본부망,D8∅YF,"경북 울진군 원남면 덕신리 산10, 현종산 중계소",
36.6702006,128.6436229,경상북도,학가산중계소,434.64,5,439.64,88.5,본부망,D8∅YU,"경북 안동시 북후면 신전리 71-2, 학가산 중계소",
35.6472706,128.7339107,경상북도,청도,434.36,5,439.36,88.5,본부망,청도,경북 청도군,
35.7940266,129.3502781,경상북도,진현동,144.72,0,144.72,88.5,지역망,DS∅AP,경북 경주시 불국로 873-243 (진현동),
35.7940266,129.3502781,경상북도,진현동,431.72,0,431.72,88.5,본부망,DS∅AP,경북 경주시 불국로 873-243 (진현동),
35.7940266,129.3502781,경상북도,진현동,434.42,5,439.42,88.5,본부망,DS∅AP,경북 경주시 불국로 873-243 (진현동),
36.6584501,128.4639631,경상북도,예천공설운동장,434.36,5,439.36,88.5,본부망,예천공설운동장,"경북 예천군 예천읍 동본리 186, 공설운동장 옥상",
36.6584501,128.4639631,경상북도,예천공설운동장,434.62,5,439.62,88.5,지역망,예천공설운동장,"경북 예천군 예천읍 동본리 186, 공설운동장 옥상",
35.9732442,128.9380065,경상북도,영천시청,145.78,0,145.78,88.5,영천시청망,D8∅YG,"경북 영천시 시청로 16, 영천시청 27호",
35.9732442,128.9380065,경상북도,영천시청,431.78,0,431.78,88.5,영천시청망,D8∅YG,"경북 영천시 시청로 16, 영천시청 27호",
36.5817927,128.7415239,경상북도,영남산,434.3,5,439.3,88.5,본부망,D8∅YQ,"경북 안동시 상아동 314번지, 영남산",
36.5817927,128.7415239,경상북도,영남산,434.66,5,439.66,88.5,본부망,D8∅YQ,"경북 안동시 상아동 314번지, 영남산",
36.3946384,129.038129,경상북도,신흥리,144.66,0,144.66,88.5,지역망,D7∅YO,"경북 청송군 파천면 신흥리 산14-1, (600M)",
36.3946384,129.038129,경상북도,신흥리,431.66,0,431.66,88.5,지역망,D7∅YO,"경북 청송군 파천면 신흥리 산14-1, (600M)",
36.3946384,129.038129,경상북도,신흥리,434.48,5,439.48,88.5,본부망,D7∅YO,"경북 청송군 파천면 신흥리 산14-1, (600M)",
36.0191816,129.3432983,경상북도,시청옥상,145.18,0.6,145.78,88.5,본부망,D7∅ZL,경북 포항시 남구 시청로 1 (시청옥상),
36.5558435,128.6787252,경상북도,수하동,433.52,0,433.52,88.5,유무선망,D8∅YV,경북 안동시 앙실로 402-17,
36.6732566,129.0962552,경상북도,서부리,144.56,0,144.56,88.5,지역망,D7∅ZJ,"경북 영양군 영양읍 서부리 산37-1, 300",
